1:1	سمو ءله رحم رحم
4:103	قضی صلو ذکر ءله قوم قعد جنب طمءن قوم صلو صلو کون ءمن کتب وقت
4:104	وهن بغی قوم کون ءلم ءلم ءلم رجو ءله رجو کون ءله علم حکم
4:105	نزل کتب حقق حکم بین ءنس رءی ءله کون خون خصم
4:106	غفر ءله ءله کون غفر رحم
4:107	جدل خون نفس ءله حبب کون خون ءثم
4:108	خفی ءنس خفی ءله بیت رضو قول کون ءله عمل حوط
4:109	جدل حیی دنو جدل ءله یوم قوم کون وکل
4:110	عمل سوء ظلم نفس غفر ءله وجد ءله غفر رحم
4:111	کسب ءثم کسب نفس کون ءله علم حکم
4:112	کسب خطء ءثم رمی برء حمل بهت ءثم بین
4:113	فضل ءله رحم همم طوف ضلل ضلل نفس ضرر شیء نزل ءله کتب حکم علم کون علم کون فضل ءله عظم
4:114	خیر کثر نجو ءمر صدق عرف صلح بین ءنس فعل بغی رضو ءله ءتی ءجر عظم
4:115	شقق رسل بعد بین هدی تبع غیر سبل ءمن ولی ولی صلی جهنم سوء صیر
4:116	ءله غفر شرک غفر دون شیء شرک ءله ضلل ضلل بعد
4:117	دعو دون ءنث دعو شطن مرد
4:118	لعن ءله قول ءخذ عبد نصب فرض
4:119	ضلل منی ءمر بتک ءذن نعم ءمر غیر خلق ءله ءخذ شطن ولی دون ءله خسر خسر بین
4:120	وعد منی وعد شطن غرر
4:121	ءوی جهنم وجد حیص
4:122	ءمن عمل صلح دخل جنن جری تحت نهر خلد ءبد وعد ءله حقق صدق ءله قول
4:123	لیس منی منی ءهل کتب عمل سوء جزی وجد دون ءله ولی نصر
4:124	عمل صلح ذکر ءنث ءمن دخل جنن ظلم نقر
4:125	حسن دین سلم وجه ءله حسن تبع ملل برهم حنف ءخذ ءله برهم خلل
4:126	ءله سمو ءرض کون ءله کلل شیء حوط
4:127	فتی نسو قول ءله فتی تلو کتب یتم نسو ءتی کتب رغب نکح ضعف ولد قوم یتم قسط فعل خیر ءله کون علم
4:128	مرء خوف بعل نشز عرض جنح صلح بین صلح صلح خیر حضر نفس شحح حسن وقی ءله کون عمل خبر
4:129	طوع عدل بین نسو حرص میل کلل میل وذر علق صلح وقی ءله کون غفر رحم
4:130	فرق غنی ءله کلل وسع کون ءله وسع حکم
4:131	ءله سمو ءرض وصی ءتی کتب قبل وقی ءله کفر ءله سمو ءرض کون ءله غنی حمد
4:132	ءله سمو ءرض کفی ءله وکل
4:133	شیء ذهب ءنس ءتی ءخر کون ءله قدر
4:134	کون رود ثوب دنو عند ءله ثوب دنو ءخر کون ءله سمع بصر
4:135	ءمن کون قوم قسط شهد ءله نفس ولد قرب کون غنی فقر ءله ولی تبع هوی عدل لوی عرض ءله کون عمل خبر
4:136	ءمن ءمن ءله رسل کتب نزل رسل کتب نزل قبل کفر ءله ملک کتب رسل یوم ءخر ضلل ضلل بعد
4:137	ءمن کفر ءمن کفر زید کفر کون ءله غفر هدی سبل
4:138	بشر نفق عذب ءلم
4:139	ءخذ کفر ولی دون ءمن بغی عند عزز عزز ءله جمع
4:140	نزل کتب سمع ءیی ءله کفر هزء قعد خوض حدث غیر مثل ءله جمع نفق کفر جهنم جمع
4:141	ربص کون فتح ءله قول کون کون کفر نصب قول حوذ منع ءمن ءله حکم بین یوم قوم جعل ءله کفر ءمن سبل
4:142	نفق خدع ءله خدع قوم صلو قوم کسل رءی ءنس ذکر ءله قلل
4:143	ذبذب بین ضلل ءله وجد سبل
4:144	ءمن ءخذ کفر ولی دون ءمن رود جعل ءله سلط بین
4:145	نفق درک سفل نور وجد نصر
4:146	توب صلح عصم ءله خلص دین ءله ءمن ءتی ءله ءمن ءجر عظم
4:147	فعل ءله عذب شکر ءمن کون ءله شکر علم
4:148	حبب ءله جهر سوء قول ظلم کون ءله سمع علم
4:149	بدو خیر خفی عفو سوء ءله کون عفو قدر
4:150	کفر ءله رسل رود فرق بین ءله رسل قول ءمن بعض کفر بعض رود ءخذ بین سبل
4:151	کفر حقق عتد کفر عذب هون
4:152	ءمن ءله رسل فرق بین وحد ءتی ءجر کون ءله غفر رحم
4:153	سءل ءهل کتب نزل کتب سمو سءل وسی کبر قول رءی ءله جهر ءخذ صعق ظلم ءخذ عجل بعد جیء بین عفو ءتی وسی سلط بین
4:154	رفع فوق طور وثق قول دخل بوب سجد قول عدو سبت ءخذ وثق غلظ
4:155	نقض وثق کفر ءیی ءله قتل نبو غیر حقق قول قلب غلف طبع ءله کفر ءمن قلل
4:156	کفر قول ریم بهت عظم
4:157	قول قتل مسح عیس بنو ریم رسل ءله قتل صلب شبه خلف شکک علم تبع ظنن قتل یقن
4:158	رفع ءله کون ءله عزز حکم
4:159	ءهل کتب ءمن قبل موت یوم قوم کون شهد
4:160	ظلم هود حرم طیب حلل صدد سبل ءله کثر
4:161	ءخذ ربو نهی ءکل مول ءنس بطل عتد کفر عذب ءلم
4:162	رسخ علم ءمن ءمن نزل نزل قبل قوم صلو ءتی زکو ءمن ءله یوم ءخر ءتی ءجر عظم
4:163	وحی وحی نوح نبو بعد وحی برهم سحق عقب سبط عیس ءوب ءنس هرن سلم ءتی دود زبر
4:164	رسل قصص قبل رسل قصص کلم ءله وسی کلم
4:165	رسل بشر نذر کون ءنس ءله حجج بعد رسل کون ءله عزز حکم
4:166	ءله شهد نزل نزل علم ملک شهد کفی ءله شهد
4:167	کفر صدد سبل ءله ضلل ضلل بعد
4:168	کفر ظلم کون ءله غفر هدی طرق
4:169	طرق جهنم خلد ءبد کون ءله یسر
4:170	ءنس جیء رسل حقق ربب ءمن خیر کفر ءله سمو ءرض کون ءله علم حکم
4:171	ءهل کتب غلو دین قول ءله حقق مسح عیس بنو ریم رسل ءله کلم لقی ریم روح ءمن ءله رسل قول ثلث نهی خیر ءله ءله وحد سبح کون ولد سمو ءرض کفی ءله وکل
4:172	نکف مسح کون عبد ءله ملک قرب نکف عبد کبر حشر جمع
4:173	ءمن عمل صلح وفی ءجر زید فضل نکف کبر عذب عذب ءلم وجد دون ءله ولی نصر
4:174	ءنس جیء برهن ربب نزل نور بین
4:175	ءمن ءله عصم دخل رحم فضل هدی صرط قوم
4:176	فتی قول ءله فتی کلل مرء هلک لیس ولد ءخو نصف ترک ورث کون ولد کون ثنی ثلث ترک کون ءخو رجل نسو ذکر مثل حظظ ءنث بین ءله ضلل ءله کلل شیء علم
5:1	ءمن وفی عقد حلل بهم نعم تلو غیر حلل صید حرم ءله حکم رود
5:2	ءمن حلل شعر ءله شهر حرم هدی قلد ءمم بیت حرم بغی فضل ربب رضو حلل صید جرم شنء قوم صدد سجد حرم عدو عون برر وقی عون ءثم عدو وقی ءله ءله شدد عقب
5:3	حرم موت دمو لحم خنزر هلل غیر ءله خنق وقذ ردی نطح ءکل سبع ذکو ذبح نصب قسم زلم فسق یوم یءس کفر دین خشی خشی یوم کمل دین تمم نعم رضو سلم دین ضرر خمص غیر جنف ءثم ءله غفر رحم
5:4	سءل ذوی حلل قول حلل طیب علم جرح کلب علم علم ءله ءکل مسک ذکر سمو ءله وقی ءله ءله سرع حسب
5:5	یوم حلل طیب طعم ءتی کتب حلل طعم حلل حصن ءمن حصن ءتی کتب قبل ءتی ءجر حصن غیر سفح ءخذ خدن کفر ءمن حبط عمل ءخر خسر
5:6	ءمن قوم صلو غسل وجه یدی رفق مسح رءس رجل کعب کون جنب طهر کون مرض سفر جیء وحد غوط لمس نسو وجد موه یمم صعد طیب مسح وجه یدی رود ءله جعل حرج رود طهر تمم نعم شکر
5:7	ذکر نعم ءله وثق وثق قول سمع طوع وقی ءله ءله علم ذوی صدر
5:8	ءمن کون قوم ءله شهد قسط جرم شنء قوم عدل عدل قرب وقی وقی ءله ءله خبر عمل
5:9	وعد ءله ءمن عمل صلح غفر ءجر عظم
5:10	کفر کذب ءیی صحب جحم
5:11	ءمن ذکر نعم ءله همم قوم بسط یدی کفف یدی وقی ءله ءله وکل ءمن
5:12	ءخذ ءله وثق بنو بعث ثنی عشر نقب قول ءله قوم صلو ءتی زکو ءمن رسل عزر قرض ءله قرض حسن کفر سوء دخل جنن جری تحت نهر کفر بعد ضلل سوو سبل
5:13	نقض وثق لعن جعل قلب قسو حرف کلم وضع نسی حظظ ذکر زیل طلع خون قلل عفو صفح ءله حبب حسن
5:14	قول نصر ءخذ وثق نسی حظظ ذکر غرو بین عدو بغض یوم قوم نبء ءله کون صنع
5:15	ءهل کتب جیء رسل بین کثر کون خفی کتب عفو کثر جیء ءله نور کتب بین
5:16	هدی ءله تبع رضو سبل سلم خرج ظلم نور ءذن هدی صرط قوم
5:17	کفر قول ءله مسح بنو ریم قول ملک ءله شیء رود هلک مسح بنو ریم ءمم ءرض جمع ءله ملک سمو ءرض بین خلق شیء ءله کلل شیء قدر
5:18	قول هود نصر بنو ءله حبب قول عذب ذنب بشر خلق غفر شیء عذب شیء ءله ملک سمو ءرض بین صیر
5:19	ءهل کتب جیء رسل بین فتر رسل قول جیء بشر نذر جیء بشر نذر ءله کلل شیء قدر
5:20	قول وسی قوم قوم ذکر نعم ءله جعل نبو جعل ملک ءتی ءتی وحد علم
5:21	قوم دخل ءرض قدس کتب ءله ردد دبر قلب خسر
5:22	قول وسی قوم جبر دخل خرج خرج دخل
5:23	قول رجل خوف نعم ءله دخل بوب دخل غلب ءله وکل کون ءمن
5:24	قول وسی دخل ءبد دوم ذهب ربب قتل قعد
5:25	قول ربب ملک نفس ءخو فرق بین بین قوم فسق
5:26	قول حرم ربع سنو تیه ءرض ءسی قوم فسق
5:27	تلو نبء بنو ءدم حقق قرب قرب قبل وحد قبل ءخر قول قتل قول قبل ءله وقی
5:28	بسط یدی قتل بسط یدی قتل خوف ءله ربب علم
5:29	رود بوء ءثم ءثم کون صحب نور جزی ظلم
5:30	طوع نفس قتل ءخو قتل صبح خسر
5:31	بعث ءله غرب بحث ءرض رءی وری سوء ءخو قول ویل عجز کون مثل غرب وری سوء ءخو صبح ندم
5:32	ءجل کتب بنو قتل نفس غیر نفس فسد ءرض قتل ءنس جمع حیی حیی ءنس جمع جیء رسل بین کثر بعد ءرض سرف
5:33	جزی حرب ءله رسل سعی ءرض فسد قتل صلب قطع یدی رجل خلف نفی ءرض خزی دنو ءخر عذب عظم
5:34	توب قبل قدر علم ءله غفر رحم
5:35	ءمن وقی ءله بغی وسل جهد سبل فلح
5:36	کفر ءرض جمع مثل فدی عذب یوم قوم قبل عذب ءلم
5:37	رود خرج نور خرج عذب قوم
5:38	سرق سرق قطع یدی جزی کسب نکل ءله ءله عزز حکم
5:39	توب بعد ظلم صلح ءله توب ءله غفر رحم
5:40	علم ءله ملک سمو ءرض عذب شیء غفر شیء ءله کلل شیء قدر
5:41	رسل حزن سرع کفر قول ءمن فوه ءمن قلب هود سمع کذب سمع قوم ءخر ءتی حرف کلم بعد وضع قول ءتی ءخذ ءتی حذر رود ءله فتن ملک ءله شیء رود ءله طهر قلب دنو خزی ءخر عذب عظم
5:42	سمع کذب ءکل سحت جیء حکم بین عرض عرض ضرر شیء حکم حکم بین قسط ءله حبب قسط
5:43	حکم عند وری حکم ءله ولی بعد ءمن
5:44	نزل وری هدی نور حکم نبو سلم هود ربب حبر حفظ کتب ءله کون شهد خشی ءنس خشی شری ءیی ثمن قلل حکم نزل ءله کفر
5:45	کتب نفس نفس عین عین ءنف ءنف ءذن ءذن سنن سنن جرح قصص صدق کفر حکم نزل ءله ظلم
5:46	قفو ءثر عیس بنو ریم صدق بین یدی وری ءتی نجل هدی نور صدق بین یدی وری هدی وعظ وقی
5:47	حکم ءهل نجل نزل ءله حکم نزل ءله فسق
5:48	نزل کتب حقق صدق بین یدی کتب هیمن حکم بین نزل ءله تبع هوی جیء حقق کلل جعل شرع نهج شیء ءله جعل ءمم وحد بلو ءتی سبق خیر ءله رجع جمع نبء کون خلف
5:49	حکم بین نزل ءله تبع هوی حذر فتن بعض نزل ءله ولی علم رود ءله صوب بعض ذنب کثر ءنس فسق
5:50	حکم جهل بغی حسن ءله حکم قوم یقن
5:51	ءمن ءخذ هود نصر ولی بعض ولی بعض ولی ءله هدی قوم ظلم
5:52	رءی قلب مرض سرع قول خشی صوب دور عسی ءله ءتی فتح ءمر عند صبح سرر نفس ندم
5:53	قول ءمن قسم ءله جهد یمن حبط عمل صبح خسر
5:54	ءمن ردد دین ءتی ءله قوم حبب حبب ذلل ءمن عزز کفر جهد سبل ءله خوف لوم لوم فضل ءله ءتی شیء ءله وسع علم
5:55	ولی ءله رسل ءمن قوم صلو ءتی زکو رکع
5:56	ولی ءله رسل ءمن حزب ءله غلب
5:57	ءمن ءخذ ءخذ دین هزء لعب ءتی کتب قبل کفر ولی وقی ءله کون ءمن
5:58	ندو صلو ءخذ هزء لعب قوم عقل
5:59	قول ءهل کتب نقم ءمن ءله نزل نزل قبل کثر فسق
5:60	قول نبء شرر ثوب عند ءله لعن ءله غضب جعل قرد خنزر عبد طغی شرر کون ضلل سوو سبل
5:61	جیء قول ءمن دخل کفر خرج ءله علم کون کتم
5:62	رءی کثر سرع ءثم عدو ءکل سحت بءس کون عمل
5:63	نهی ربب حبر قول ءثم ءکل سحت بءس کون صنع
5:64	قول هود یدی ءله غلل غلل یدی لعن قول یدی بسط نفق شیء زید کثر نزل ربب طغی کفر لقی بین عدو بغض یوم قوم کلل وقد نور حرب طفء ءله سعی ءرض فسد ءله حبب فسد
5:65	ءهل کتب ءمن وقی کفر سوء دخل جنن نعم
5:66	قوم وری نجل نزل ربب ءکل فوق تحت رجل ءمم قصد کثر سوء عمل
5:67	رسل بلغ نزل ربب فعل بلغ رسل ءله عصم ءنس ءله هدی قوم کفر
5:68	قول ءهل کتب لیس شیء قوم وری نجل نزل ربب زید کثر نزل ربب طغی کفر ءسی قوم کفر
5:69	ءمن هود صبء نصر ءمن ءله یوم ءخر عمل صلح خوف حزن
5:70	ءخذ وثق بنو رسل رسل کلل جیء رسل هوی نفس فرق کذب فرق قتل
5:71	حسب کون فتن عمی صمم توب ءله عمی صمم کثر ءله بصر عمل
5:72	کفر قول ءله مسح بنو ریم قول مسح بنو عبد ءله ربب ربب شرک ءله حرم ءله جنن ءوی نور ظلم نصر
5:73	کفر قول ءله ثلث ثلث ءله ءله وحد نهی قول مسس کفر عذب ءلم
5:74	توب ءله غفر ءله غفر رحم
5:75	مسح بنو ریم رسل خلو قبل رسل ءمم صدق کون ءکل طعم نظر بین ءیی نظر ءفک
5:76	قول عبد دون ءله ملک ضرر نفع ءله سمع علم
5:77	قول ءهل کتب غلو دین غیر حقق تبع هوی قوم ضلل قبل ضلل کثر ضلل سوو سبل
5:78	لعن کفر بنو لسن دود عیس بنو ریم عصی کون عدو
5:79	کون نهی نکر فعل بءس کون فعل
5:80	رءی کثر ولی کفر بءس قدم نفس سخط ءله عذب خلد
5:81	کون ءمن ءله نبو نزل ءخذ ولی کثر فسق
5:82	وجد شدد ءنس عدو ءمن هود شرک وجد قرب ودد ءمن قول نصر قسس رهب کبر
5:83	سمع نزل رسل رءی عین فیض دمع عرف حقق قول ربب ءمن کتب شهد
5:84	ءمن ءله جیء حقق طمع دخل ربب قوم صلح
5:85	ثوب ءله قول جنن جری تحت نهر خلد جزی حسن
5:86	کفر کذب ءیی صحب جحم
5:87	ءمن حرم طیب حلل ءله عدو ءله حبب عدو
5:88	ءکل رزق ءله حلل طیب وقی ءله ءمن
5:89	ءخذ ءله لغو یمن ءخذ عقد یمن کفر طعم عشر سکن وسط طعم ءهل کسو حرر رقب وجد صوم ثلث یوم کفر یمن حلف حفظ یمن بین ءله ءیی شکر
5:90	ءمن خمر یسر نصب زلم رجس عمل شطن جنب فلح
5:91	رود شطن وقع بین عدو بغض خمر یسر صدد ذکر ءله صلو نهی
5:92	طوع ءله طوع رسل حذر ولی علم رسل بلغ بین
5:93	لیس ءمن عمل صلح جنح طعم وقی ءمن عمل صلح وقی ءمن وقی حسن ءله حبب حسن
5:94	ءمن بلو ءله شیء صید نیل یدی رمح علم ءله خوف غیب عدو بعد عذب ءلم
5:95	ءمن قتل صید حرم قتل عمد جزی مثل قتل نعم حکم ذوی عدل هدی بلغ کعب کفر طعم سکن عدل صوم ذوق وبل ءمر عفو ءله سلف عود نقم ءله ءله عزز ذوی نقم
5:96	حلل صید بحر طعم متع سیر حرم صید برر دوم حرم وقی ءله حشر
5:97	جعل ءله کعب بیت حرم قوم ءنس شهر حرم هدی قلد علم ءله علم سمو ءرض ءله کلل شیء علم
5:98	علم ءله شدد عقب ءله غفر رحم
5:99	رسل بلغ ءله علم بدو کتم
5:100	قول سوو خبث طیب عجب کثر خبث وقی ءله ءول لبب فلح
5:101	ءمن سءل شیء بدو سوء سءل حین نزل قرء بدو عفو ءله ءله غفر حلم
5:102	سءل قوم قبل صبح کفر
5:103	جعل ءله بحر سیب وصل حمی کفر فری ءله کذب کثر عقل
5:104	قول علو نزل ءله رسل قول حسب وجد ءبو کون ءبو علم شیء هدی
5:105	ءمن نفس ضرر ضلل هدی ءله رجع جمع نبء کون عمل
5:106	ءمن شهد بین حضر وحد موت حین وصی ثنی ذوی عدل ءخر غیر ضرب ءرض صوب صوب موت حبس بعد صلو قسم ءله ریب شری ثمن کون ذوی قرب کتم شهد ءله ءثم
5:107	عثر حقق ءثم ءخر قوم قوم حقق ولی قسم ءله شهد حقق شهد عدو ظلم
5:108	دنو ءتی شهد وجه خوف ردد یمن بعد یمن وقی ءله سمع ءله هدی قوم فسق
5:109	یوم جمع ءله رسل قول ذوی جوب قول علم علم غیب
5:110	قول ءله عیس بنو ریم ذکر نعم ولد ءید روح قدس کلم ءنس مهد کهل علم کتب حکم وری نجل خلق طین هیء طیر ءذن نفخ کون طیر ءذن برء کمه برص ءذن خرج موت ءذن کفف بنو جیء بین قول کفر سحر بین
5:111	وحی حور ءمن رسل قول ءمن شهد سلم
5:112	قول حور عیس بنو ریم طوع ربب نزل مید سمو قول وقی ءله کون ءمن
5:113	قول رود ءکل طمءن قلب علم صدق کون شهد
5:114	قول عیس بنو ریم ءله ربب نزل مید سمو کون عود ءول ءخر ءیی رزق خیر رزق
5:115	قول ءله نزل کفر بعد عذب عذب عذب وحد علم
5:116	قول ءله عیس بنو ریم قول ءنس ءخذ ءمم ءله دون ءله قول سبح کون قول لیس حقق کون قول علم علم نفس علم نفس علم غیب
5:117	قول ءمر عبد ءله ربب ربب کون شهد دوم وفی کون رقب کلل شیء شهد
5:118	عذب عبد غفر عزز حکم
5:119	قول ءله یوم نفع صدق صدق جنن جری تحت نهر خلد ءبد رضو ءله رضو فوز عظم
5:120	ءله ملک سمو ءرض کلل شیء قدر
6:1	حمد ءله خلق سمو ءرض جعل ظلم نور کفر ربب عدل
6:2	خلق طین قضی ءجل ءجل سمو عند مری
6:3	ءله سمو ءرض علم سرر جهر علم کسب
6:4	ءتی ءیی ءیی ربب کون عرض
6:5	کذب حقق جیء ءتی نبء کون هزء
6:6	رءی هلک قبل قرن مکن ءرض مکن رسل سمو درر جعل نهر جری تحت هلک ذنب نشء بعد قرن ءخر
6:7	نزل کتب قرطس لمس یدی قول کفر سحر بین
6:8	قول نزل ملک نزل ملک قضی ءمر نظر
6:9	جعل ملک جعل رجل لبس لبس
6:10	هزء رسل قبل حیق سخر کون هزء
6:11	قول سیر ءرض نظر کون عقب کذب
6:12	قول سمو ءرض قول ءله کتب نفس رحم جمع یوم قوم ریب خسر نفس ءمن
6:13	سکن لیل نهر سمع علم
6:14	قول غیر ءله ءخذ ولی فطر سمو ءرض طعم طعم قول ءمر کون ءول سلم کون شرک
6:15	قول خوف عصی ربب عذب یوم عظم
6:16	صرف یوم رحم فوز بین
6:17	مسس ءله ضرر کشف مسس خیر کلل شیء قدر
6:18	قهر فوق عبد حکم خبر
6:19	قول شیء کبر شهد قول ءله شهد بین بین وحی قرء نذر بلغ شهد ءله ءله ءخر قول شهد قول ءله وحد برء شرک
6:20	ءتی کتب عرف عرف بنو خسر نفس ءمن
6:21	ظلم فری ءله کذب کذب ءیی فلح ظلم
6:22	یوم حشر جمع قول شرک ءین شرک کون زعم
6:23	کون فتن قول ءله ربب کون شرک
6:24	نظر کذب نفس ضلل کون فری
6:25	سمع جعل قلب کنن فقه ءذن وقر رءی کلل ءیی ءمن جیء جدل قول کفر سطر ءول
6:26	نهی نءی هلک نفس شعر
6:27	رءی وقف نور قول ردد کذب ءیی ربب کون ءمن
6:28	بدو کون خفی قبل ردد عود نهی کذب
6:29	قول حیی دنو بعث
6:30	رءی وقف ربب قول لیس حقق قول ربب قول ذوق عذب کون کفر
6:31	خسر کذب لقی ءله جیء سوع بغت قول حسر فرط حمل وزر ظهر سوء وزر
6:32	حیی دنو لعب لهو دور ءخر خیر وقی عقل
6:33	علم حزن قول کذب ظلم ءیی ءله جحد
6:34	کذب رسل قبل صبر کذب ءذی ءتی نصر بدل کلم ءله جیء نبء رسل
6:35	کون کبر عرض طوع بغی نفق ءرض سلم سمو ءتی ءیی شیء ءله جمع هدی کون جهل
6:36	جوب سمع موت بعث ءله رجع
6:37	قول نزل ءیی ربب قول ءله قدر نزل ءیی کثر علم
6:38	دبب ءرض طیر طیر جنح ءمم مثل فرط کتب شیء ربب حشر
6:39	کذب ءیی صمم بکم ظلم شیء ءله ضلل شیء جعل صرط قوم
6:40	قول رءی ءتی عذب ءله ءتی سوع غیر ءله دعو کون صدق
6:41	دعو کشف دعو شیء نسی شرک
6:42	رسل ءمم قبل ءخذ بءس ضرر ضرع
6:43	جیء بءس ضرع قسو قلب زین شطن کون عمل
6:44	نسی ذکر فتح بوب کلل شیء فرح ءتی ءخذ بغت بلس
6:45	قطع دبر قوم ظلم حمد ءله ربب علم
6:46	قول رءی ءخذ ءله سمع بصر ختم قلب ءله غیر ءله ءتی نظر صرف ءیی صدف
6:47	قول رءی ءتی عذب ءله بغت جهر هلک قوم ظلم
6:48	رسل رسل بشر نذر ءمن صلح خوف حزن
6:49	کذب ءیی مسس عذب کون فسق
6:50	قول قول عند خزن ءله علم غیب قول ملک تبع وحی قول سوو عمی بصر فکر
6:51	نذر خوف حشر ربب لیس دون ولی شفع وقی
6:52	طرد دعو ربب غدو عشو رود وجه حسب شیء حسب شیء طرد کون ظلم
6:53	فتن بعض بعض قول منن ءله بین لیس ءله علم شکر
6:54	جیء ءمن ءیی قول سلم کتب ربب نفس رحم عمل سوء جهل توب بعد صلح غفر رحم
6:55	فصل ءیی بین سبل جرم
6:56	قول نهی عبد دعو دون ءله قول تبع هوی ضلل هدی
6:57	قول بین ربب کذب عند عجل حکم ءله قصص حقق خیر فصل
6:58	قول عند عجل قضی ءمر بین بین ءله علم ظلم
6:59	عند فتح غیب علم علم برر بحر سقط ورق علم حبب ظلم ءرض رطب یبس کتب بین
6:60	وفی لیل علم جرح نهر بعث قضی ءجل سمو رجع نبء کون عمل
6:61	قهر فوق عبد رسل حفظ جیء وحد موت وفی رسل فرط
6:62	ردد ءله ولی حقق حکم سرع حسب
6:63	قول نجو ظلم برر بحر دعو ضرع خفی نجو کون شکر
6:64	قول ءله نجو کلل کرب شرک
6:65	قول قدر بعث عذب فوق تحت رجل لبس شیع ذوق بعض بءس بعض نظر صرف ءیی فقه
6:66	کذب قوم حقق قول لیس وکل
6:67	کلل نبء قرر علم
6:68	رءی خوض ءیی عرض خوض حدث غیر نسی شطن قعد بعد ذکر قوم ظلم
6:69	وقی حسب شیء ذکر وقی
6:70	وذر ءخذ دین لعب لهو غرر حیی دنو ذکر بسل نفس کسب لیس دون ءله ولی شفع عدل کلل عدل ءخذ بسل کسب شرب حمم عذب ءلم کون کفر
6:71	قول دعو دون ءله نفع ضرر ردد عقب بعد هدی ءله هوی شطن ءرض حیر صحب دعو هدی ءتی قول هدی ءله هدی ءمر سلم ربب علم
6:72	قوم صلو وقی حشر
6:73	خلق سمو ءرض حقق یوم قول کون کون قول حقق ملک یوم نفخ صور علم غیب شهد حکم خبر
6:74	قول برهم ءبو ءزر ءخذ صنم ءله رءی قوم ضلل بین
6:75	رءی برهم ملک سمو ءرض کون یقن
6:76	جنن لیل رءی کوکب قول ربب ءفل قول حبب ءفل
6:77	رءی قمر بزغ قول ربب ءفل قول هدی ربب کون قوم ضلل
6:78	رءی شمس بزغ قول ربب کبر ءفل قول قوم برء شرک
6:79	وجه وجه فطر سمو ءرض حنف شرک
6:80	حجج قوم قول حجج ءله هدی خوف شرک شیء ربب شیء وسع ربب کلل شیء علم ذکر
6:81	خوف شرک خوف شرک ءله نزل سلط فرق حقق ءمن کون علم
6:82	ءمن لبس ءمن ظلم ءمن هدی
6:83	حجج ءتی برهم قوم رفع درج شیء ربب حکم علم
6:84	وهب سحق عقب کلل هدی نوح هدی قبل ذرر دود سلم ءوب ءسف وسی هرن جزی حسن
6:85	زکر حیی عیس ءلس کلل صلح
6:86	یسع ءنس لوط کلل فضل علم
6:87	ءبو ذرر ءخو جبی هدی صرط قوم
6:88	هدی ءله هدی شیء عبد شرک حبط کون عمل
6:89	ءتی کتب حکم نبو کفر وکل قوم لیس کفر
6:90	هدی ءله هدی قدو قول سءل ءجر ذکر علم
6:91	قدر ءله حقق قدر قول نزل ءله بشر شیء قول نزل کتب جیء وسی نور هدی ءنس جعل قرطس بدو خفی کثر علم علم ءبو قول ءله وذر خوض لعب
6:92	کتب نزل برک صدق بین یدی نذر ءمم قری حول ءمن ءخر ءمن صلو حفظ
6:93	ظلم فری ءله کذب قول وحی وحی شیء قول نزل مثل نزل ءله رءی ظلم غمر موت ملک بسط یدی خرج نفس یوم جزی عذب هون کون قول ءله غیر حقق کون ءیی کبر
6:94	جیء فرد خلق ءول مرر ترک خول وری ظهر رءی شفع زعم شرک قطع بین ضلل کون زعم
6:95	ءله فلق حبب نوی خرج حیی موت خرج موت حیی ءله ءفک
6:96	فلق صبح جعل لیل سکن شمس قمر حسب قدر عزز علم
6:97	جعل نجم هدی ظلم برر بحر فصل ءیی قوم علم
6:98	نشء نفس وحد قرر ودع فصل ءیی قوم فقه
6:99	نزل سمو موه خرج نبت کلل شیء خرج خضر خرج حبب رکب نخل طلع قنو دنو جنن عنب زیت رمن شبه غیر شبه نظر ثمر ثمر ینع ءیی قوم ءمن
6:100	جعل ءله شرک جنن خلق خرق بنو بنو غیر علم سبح علو وصف
6:101	بدع سمو ءرض کون ولد کون صحب خلق کلل شیء کلل شیء علم
6:102	ءله ربب ءله خلق کلل شیء عبد کلل شیء وکل
6:103	درک بصر درک بصر لطف خبر
6:104	جیء بصر ربب بصر نفس عمی حفظ
6:105	صرف ءیی قول درس بین قوم علم
6:106	تبع وحی ربب ءله عرض شرک
6:107	شیء ءله شرک جعل حفظ وکل
6:108	سبب دعو دون ءله سبب ءله عدو غیر علم زین کلل ءمم عمل ربب رجع نبء کون عمل
6:109	قسم ءله جهد یمن جیء ءیی ءمن قول ءیی عند ءله شعر جیء ءمن
6:110	قلب فءد بصر ءمن ءول مرر وذر طغی عمه
6:111	نزل ملک کلم موت حشر کلل شیء قبل کون ءمن شیء ءله کثر جهل
6:112	جعل کلل نبو عدو شطن ءنس جنن وحی بعض بعض زخرف قول غرر شیء ربب فعل وذر فری
6:113	صغو فءد ءمن ءخر رضو قرف قرف
6:114	غیر ءله بغی حکم نزل کتب فصل ءتی کتب علم نزل ربب حقق کون مری
6:115	تمم کلم ربب صدق عدل بدل کلم سمع علم
6:116	طوع کثر ءرض ضلل سبل ءله تبع ظنن خرص
6:117	ربب علم ضلل سبل علم هدی
6:118	ءکل ذکر سمو ءله کون ءیی ءمن
6:119	ءکل ذکر سمو ءله فصل حرم ضرر کثر ضلل هوی غیر علم ربب علم عدو
6:120	وذر ظهر ءثم بطن کسب ءثم جزی کون قرف
6:121	ءکل ذکر سمو ءله فسق شطن وحی ولی جدل طوع شرک
6:122	کون موت حیی جعل نور مشی ءنس مثل ظلم لیس خرج زین کفر کون عمل
